A;;;AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA
;;;Administración de la vivienda y de los asuntos generales de la comunidad, como el suministro de agua, saneamiento y alumbrado público. Administración de programas de protección ambiental, como es la recogida y eliminación de basuras, funcionamiento de sistema de desagüe, normativas sobre contaminación y otros programas de protección ambiental. 
;;;Excluye: Las actividades postales se incluyen en la clase 6410 (Actividades postales y de correo) y las de telecomunicaciones en la clase 6420 (Telecomunicaciones).
;;;Las actividades de investigación y de desarrollo experimental y los planes de seguridad social  se clasifican en la sección N  (Ciencia e innovación tecnológica).
;;;Las actividades de los planes de seguridad social de afiliación obligatoria se incluyen en la clase 7530 (Actividades de  seguridad social).
;;;Las actividades de enseñanza se incluyen en la sección O (Educación)
;;;Las actividades relacionadas con la salud humana se incluyen en la división 90 (Salud pública).
;;;La eliminación de desperdicios  y de aguas residuales y el saneamiento se incluyen en la clase 9600 (eliminación de desperdicios,  aguas residuales, saneamiento y similares).
;;;Las actividades de bibliotecas, archivos públicos, museos y otras instituciones culturales se incluyen la clase pertinente de la división 94 (Cultura).
;;;Los deportes y otras actividades de esparcimiento se incluyen en la división 95 (Deportes) y en la clase 9439 (otras actividades de recreación cultural).
;;7513;Administración  de  actividades  y  servicios  relacionados con la actividad económica
;;;En esta clase se incluye una gran variedad de actividades del sector público, relacionadas sobre todo con la infraestructura.
;;;Asuntos referentes a la ordenación de tierras de uso agropecuario, la estabilización de los mercados de productos agropecuarios  y concesión de subvenciones.
;;;Administración  de la lucha contra las plagas, inspección de cultivos y clasificación de productos,  administración  de  actividades   veterinarias y forestales y de la caza y pesca con fines comerciales y deportivos.
;;;Administración  de   actividades  y servicios relacionados con el combustible y la energía, incluso los combustibles sólidos de origen mineral,   el petróleo   y el gas natural, el combustible   nuclear   y otros combustibles   no comerciales.    Se incluyen las actividades de apoyo en forma de préstamos, donaciones y subvenciones.
;;;Administración  de actividades   relacionadas  con la energía  eléctrica   y con la minería              y los recursos minerales, tales como las de búsqueda, explotación, conservación y comercialización   de   yacimientos   y   otros aspectos  de  la  producción   minera.
;;;Actividades   de   servicios    administrativos   en  general   relacionados    con   el comercio al por   mayor   y   al    por    menor,   el    depósito   y   el   almacenamiento.
;;;Administración  de  actividades  relacionadas con los hoteles, los restaurantes y el turismo, incluso   el   fomento  del  turismo.
;;;Administración de proyectos de objetivos múltiples.   Regulación, concesión de licencias e inspección  relacionada con sectores comerciales diversos,  incluso la inspección de comercios.
;;;Administración  de   actividades   laborales  generales,   tales como   la   regulación   de las condiciones de trabajo.
;;;Aplicación  de las  políticas  de investigación  y  desarrollo  destinadas  a  mejorar  la economía  y competitividad  y  administración   de los  fondos   pertinentes.
;;;Ejecución  de medidas  de política de desarrollo regional.
;;;Regulación  y administración  de actividades  relacionadas  con los transportes  y las comunicaciones,  tales como las referentes  a caminos y carreteras,  instalaciones  de suministro de agua,   ferrocarriles,  trenes  urbanos  y construcción  de instalaciones para el transporte aéreo.
;;;Excluye:   Las  actividades de investigación y de desarrollo experimental  se clasifican  en la  División 80  (Investigación y desarrollo de las ciencias naturales y la tecnología.
;;7514;Actividades   de servicios  auxiliares  para  la administración pública en general
;;;Esta clase abarca las actividades de servicios de personal y otras actividades de servicios generales.
;;;Administración y funcionamiento de los servicios de personal en general, estén o no relacionadas con una función concreta.   Formulación   y   aplicación de normas y procedimientos   generales de   personal   en   materia  de   métodos   de selección,  clasificación y   promoción,   descripción   de   funciones,  evaluación y clasificación,  aplicación de reglamentos   de  personal, etc. 
;;; Administración,   dirección   y  respaldo   de    servicios   generales, tales como los de suministro   y   compra   centralizados,    conservación y custodia de registros y archivos públicos,   administración   de edificios de   propiedad   pública   u ocupados por la administración pública, servicios de oficinas centrales y otros servicios generales no relacionados   con   ninguna   función    concreta.
;;7515;Administración de actividades relacionadas con los censos de población y viviendas (CPV)
;;;En esta clase se incluyen la Administración y Dirección de las actividades relacionadas con los Censos de Población y Viviendas.
;;;Aplicación de las Políticas y Programas de investigación relacionada con los Censos de Población y Viviendas
;;;Actividades de apoyo
;;7521;Relaciones exteriores
;;;En esta clase se incluyen la administración y el funcionamiento del Ministerio de Relaciones Exteriores y de las  misiones  diplomáticas y  consulares  en el extranjero y  ante organizaciones internacionales. La administración, la dirección y el respaldo de servicios informativos y culturales que se prestan en el extranjero. El suministro de  ayuda económica a países en desarrollo, sea efectuado o no por conducto de organizaciones internacionales. El suministro de ayuda militar  a otros países.  Asuntos relacionados con el comercio internacional en general, como el comercio exterior, la financiación internacional y cuestiones de carácter técnico.  Asistencia internacional, como programas de socorro a refugiados.
;;7522;Actividades de defensa
;;;Esta clase abarca asuntos relacionados con la defensa militar y civil.
;;;Administración, supervisión y gestión de asuntos y fuerzas de defensa militar: ejército, marina, fuerza aérea  mandos y fuerzas de ingeniería, transporte, comunicaciones, inteligencia, suministro de materiales, personal y otras fuerzas de índole conexa no destinados al combate  y fuerzas auxiliares de reserva y para el sistema de defensa.  Abastecimiento de equipo, estructuras, suministros, etc.  Actividades sanitarias para el personal militar en campaña.
;;;Administración, funcionamiento y respaldo de fuerzas de defensa civil.  Prestación de apoyo a la elaboración de planes de emergencia y la ejecución de maniobras con la participación de instituciones y civiles.
;;;Se incluyen la aplicación de las políticas de investigación y desarrollo en materia de defensa  y la administración de los fondos pertinentes.
;;;Excluye: Las actividades de investigación y desarrollo experimental se clasifican en la sección N (Ciencia e innovación tecnológica).
;;;Las actividades administrativas de los órganos de defensa se incluyen en la clase 7511 (Administración  pública).
;;;La prestación de ayuda militar a otros países se incluye en la clase 7521 (Relaciones exteriores). Las actividades de los tribunales militares y el abastecimiento de suministros para su utilización en situaciones de emergencia interna en tiempos de paz causadas por desastres también se incluyen en la clase 7523 (Actividades de mantenimiento del orden público y de seguridad).
;;;Las actividades educativas de escuelas y academias militares se incluyen en la clase pertinente de la sección O (Educación).
;;;Las actividades de los hospitales militares se incluyen en la clase 9011 (Actividades de hospitales).
;;7523;Actividades de mantenimiento del orden público y de seguridad
;;;En esta clase se incluyen las actividades policiales y de lucha contra incendios, la administración y el funcionamiento de tribunales y la administración y funcionamiento de prisiones.
;;;La administración y dirección de fuerzas de policía regulares y auxiliares que dependen de las autoridades públicas, de fuerzas de vigilancia portuaria, fronteriza y costera y de otras fuerzas especiales de policía.  Entre las funciones de la policía se incluyen la ordenación del tráfico, el registro de extranjeros, la utilización de laboratorios policiales y el mantenimiento de ficheros de detenidos.  El suministro de equipo y materiales para los servicios policiales, incluso vehículos, aeronaves y embarcaciones.
;;;Prevención y extinción de incendios. Administración y funcionamiento de cuerpos ordinarios y auxiliares de bomberos que dependen de las autoridades públicas.
;;;Administración y funcionamiento de tribunales civiles, administrativos y penales, de tribunales militares y del sistema judicial en general, incluso el desempeño de funciones de representación y asistencia letrada en nombre del sector público y en nombre de terceros, cuando hay fondos o servicios públicos previstos con este objeto.  Emisión de fallos e interpretación de la ley,  incluso arbitraje en casos civiles.  Administración y funcionamiento de prisiones y otros lugares de reclusión y rehabilitación de los encarcelados.
;;;Además están los servicios relacionados  con el orden público y la seguridad. También se incluye el abastecimiento de suministros para su utilización en situaciones de emergencia interna en tiempos de paz  causadas por desastres.
;;;Excluye: La representación y asistencia letrada en casos civiles, penales y de otro tipo se incluye en la clase 7211 (Actividades jurídicas).
;;;La administración y el funcionamiento de las fuerzas armadas se incluye en la clase 7522 (Actividad de defensa).
;;;Las actividades de las escuelas que funcionan en prisiones se incluyen en la clase pertinente de la sección 0 (Educación).
;;;Las actividades de los hospitales de prisiones se incluyen en la clase 9011 (Actividades de hospitales).
;;7530;Actividades de  seguridad social
;;;Esta clase abarca la financiación y administración de servicios  de seguridad social, encargada de la realización de pagos de prestaciones a largo plazo (pensión por edad, invalidez total y por muerte del  trabajador) por prestaciones a corto plazo (subsidios por enfermedad, accidente, maternidad y  por invalidez parcial) y otras prestaciones complementarias.
;;;Excluye:   La prestación directa de servicios de bienestar social y de índole conexa se incluye en la clase correspondiente a la división 91  (Asistencia social).
N;;;CIENCIA E INNOVACIÓN TECNOLÓGICA
;;;(División 80 - 82)
;;;Esta Sección comprende un conjunto de actividades en las cuales se realizan trabajos creativos sistemáticos, cuyo objetivo fundamental es aumentar el volumen de conocimientos y la utilización de estos para concebir nuevas aplicaciones.
;;;Las actividades que la conforman son:
;;;Investigación básica: Se trata del trabajo teórico o experimental emprendido principalmente para adquirir nuevos conocimientos sobre los fundamentos de fenómenos y hechos observables sin tener por finalidad ninguna aplicación particular.  La investigación básica analiza propiedades, estructuras y relaciones con el fin de formular y comprobar hipótesis, teorías y leyes.  Si bien los resultados de la investigación básica no suelen comercializarse, se publican en revistas científicas o se divulgan entre especialistas interesados.  En algunas oportunidades las investigaciones básicas se clasifican como ¨confidencial¨ por razones de seguridad.
;;;Investigación aplicada: Se trata de la investigación original emprendida para adquirir  nuevos conocimientos.  Sin embargo, está orientada a la consecución de un logro u objetivo práctico determinado. Los resultados de la investigación aplicada tienen por finalidad principal ser válidos para un producto, operación, método o sistema o para una cantidad limitada de ellos.  La investigación aplicada desarrolla ideas en forma operativa.  El conocimiento o información obtenido de la investigación aplicada se suele patentar, aunque también es posible que se mantenga en secreto.
;;;Desarrollo tecnológico: Consisten en los trabajos sistemáticos de profundiczación en los conocimientos existentes derivados de la investigación y/o la experiencia prácticas, dirigidos a la producción de nuevos materiales, productos o dispositivos al esablecimiento de nuevos procesos, sistemas o servicios, o a la mejora sustancial de los ya producidos o implantadaços, incluyendo la realización de prototipos, instalaciones piloto e ingeniería básica.
;;;Excluye: La administración por el gobierno de fondos para investigación y desarrollo y otros fondos conexos en las diversas ramas de las ciencias naturales y sociales se incluye en la División 75.- (Administración pública, defensa  seguridad social).
;;;Las actividades de administración y facilitación de las investigaciones prácticas y el desarrollo experimental relacionadas con la defensa se incluyen en la clase 7522 (Actividades de defensa).
;;;Las actividades de investigación y desarrollo relacionadas con la enseñanza se incluyen en la clase pertinente de la Sección O. (Educación).
;;;La reunión y administración por instituciones de beneficencia de fondos para la investigación y el desarrollo en la esfera de la medicina y otras esferas sociales conexas se incluye en la clase 9132- (Asistencia social sin alojamiento).
;80;;INVESTIGACIÓN  Y  DESARROLLO   DE LAS CIENCIAS NATURALES Y LA TECNOLOGÍA
;;8010;Investigación   y   desarrollo   de    las     ciencias    naturales y   la    tecnología
;;;Esta clase incluye los trabajos sistemáticos de naturaleza creativa que forman parte de los tres tipos de actividades descritas más arriba y se realizan en los campos de las ciencias naturales y la tecnología.
;;;En la práctica estos trabajos se concretan en los sectores primarios, secundarios y terciarios
;;;Para cada actividad económica se ha de tener en cuenta la apertura por categoría programática (nacionales, ramales y territoriales) y proyectos no asociados a programas.
;81;;INVESTIGACIÓN Y DESARROLLO DE LAS CIENCIAS SOCIALES    Y LAS HUMANIDADES
;;8120;Investigación   y   desarrollo   de  las  ciencias   sociales   y   las humanidades
;;;Esta clase abarca los trabajos sistemáticos de naturaleza creativa que forma parte de los tres tipos de actividades descritos más arriba y se realizan en el campo de las ciencias sociales  (sociología y psicología, economía, derecho y otras ciencias sociales y humanidades (lengua y literatura, historia y otras humanidades).
;;;Excluye: El estudio de mercados se incluye en la clase 7213 (Investigación de mercados y realización de encuestas de opinión pública).
;82;;INNOVACIÓN    TECNOLÓGICA    EN    ACTIVIDADES  ECONÓMICAS
;;8210;Innovación tecnológica en actividades económi cas
;;;Esta clase comprende la innovación de productos e innovación de procesos, así como  los cambios tecnológicos en productos y procesos.    Se entiende que se ha implantado una innovación si se ha puesto en el mercado (innovación de productos)  o si se ha utilizado en un proceso de producción (innovación de procesos).   Las innovaciones por lo tanto incluyen una serie de actividades científicas, tecnológicas, organizativas, financieras y comerciales.  De acuerdo con la mayoría de los estudios  sobre el tema se clasifican, según sus impactos, en incrementales, radicales, cambios en los sistemas tecnológicos y cambios en los paradigmas tecnológicos.
O;;;EDUCACIÓN                           
;;;(División 85-87 )
;;;Esta sección comprende la enseñanza  impartida por instituciones, y por profesores individuales, la enseñanza de tiempo completo, de tiempo parcial y de carácter intensivo, en horario diurno y nocturno, y de cualquier nivel y para cualquier profesión. 
;;; El desglose por categorías se basa fundamentalmente en el nivel de instrucción que se ofrece.
;;;Excluye:   La enseñanza cuya finalidad principal es el esparcimiento, se incluye en clase pertinente de la división 95 (Deporte).
;85;;EDUCACIÓN PREESCOLAR, PRIMARIA Y MEDIA
;;8510;Educación preescolar
;;;Esta clase comprende a niños de seis meses a cinco años que asisten a círculos infantiles o jardines de la infancia o que no acuden a estos y se atienden por vías no formales, así como a los comprendidos en estas edades con necesidades educativas especiales que son atendidos en salones especializados de los círculos infantiles.  El objetivo fundamental  es lograr el máximo desarrollo posible para cada niño como premisa para su inicio en la vida escolar.
;;8511;Educación primaria
;;;Esta clase comprende la  educación básica de los niños desde el grado escolar hasta el sexto grado.  El objetivo es dotar a los niños de los conocimientos, hábitos y habilidades fundamentales que les permitan acceder a los niveles siguientes de Educación, así como formar sentimientos y valores acordes a nuestra sociedad.
;;8520;En esta clase se incluyen las actividades educacionales de diversas categorías que se realizan en una misma Institución.  Por lo general pueden impartirse educación primaria y secundaria  o educación secundaria y tecnológica.
;;8521;Educación general media 
;;;Esta clase comprende la enseñanza general de nivel secundario en que a menudo la especialización por asignaturas comienza a tener cierta influencia, incluso en la experiencia educacional de los estudiantes que siguen un programa de enseñanza general.  
;;;La especialización está encaminada a preparar a los estudiantes para el nivel de enseñanza técnica y profesional y para el ingreso en la universidad. 
;;8522;Educación técnica y profesional
;;;En esta clase se incluye toda la enseñanza técnica y profesional de nivel inferior al universitario. Por lo general en los programas de este nivel se hace hincapié en una determinada especialización y se imparten conocimientos teóricos y prácticos que suelen tener por objeto  mejorar las posibilidades actuales o futuras de empleo. Los objetivos de los programas pueden variar desde la preparación para una esfera general de empleo hasta la preparación para una ocupación concreta (por ejemplo, obreros calificados).
;;;Excluye: La enseñanza técnica y profesional de los niveles postsecundarios y universitarios se incluye en la División 86 (Educación superior).
;;8523;Educación especial
;;;Esta clase constituye un sistema de escuelas, servicios y ayudas en función de los niños con necesidades educativas especiales, en situación de desventaja social, grupos de riego, así como a los docentes, familias y la comunidad.  Acceden a ella los niños desde la Educación Primaria, Secundarias y la Formación de oficios.  Su objetivo es lograr la inserción de estos niños en el sistema regular de Educación, a partir de un tratamiento especializado, así como la preparación para la inserción en la vida laboral de aquellos que no puedan continuar estudios.
;;8524;Educación de adultos
;;;Esta clase comprende la enseñanza de nivel primario o secundario, de carácter general o dedicado a materias específicas, que pueden impartirse en clases diurnas y nocturnas en centros o instituciones especiales destinadas a adultos o locales habilitados a tales efectos en la comunidad.
;;;Excluye: La enseñanza técnica y profesional de los niveles postsecundarios y universitarios se incluye en la División 86.  (Educación Superior).
;86;;EDUCACIÓN SUPERIOR
;;8650;Educación superior
;;;Esta clase comprende la enseñanza universitaria conducente a un título universitario. En este nivel se forman los profesionales por  ramas de las ciencias,  vinculado (dentro de los programas especializados) según la  carrera que se trate.
;;;Incluye la educación post grado que comprende todas las formas habidas de la superación  profesional  a fin de garantizar la superación contínua de los profesionales universitarios y su formación académica. En ello  se encuentran los programas de doctorado, maestrías, especialidades, diplomados, entrenamientos y cursos.
;87;;OTRAS ACTIVIDADES EDUCACIONALES
;;8710;Otras actividades educacionales 
;;;Esta clase comprende las actividades educacionales que por sus características no pueden ser recogidas en las clases anteriores.  Incluye los cursos para el mejoramiento de la calificación del personal, pero no dan una formación completa.
;;;La mayor parte de estas actividades educativas suelen basarse en la premisa de que el estudiante asiste a las clases voluntariamente, porque tiene su propia motivación.
P;;;SALUD PÚBLICA Y ASISTENCIA SOCIAL
;;;(División 90-91)
;90;;SALUD PÚBLICA
;;9011;Actividades de hospitales
;;;En esta clase se incluyen las actividades de los hospitales generales y especializados, sanatorios, preventorios,  centros de rehabilitación, leprosorios y otras instituciones sanitarias con servicios de alojamiento, incluso los hospitales de bases militares y de prisiones.
;;;Las actividades que consisten principalmente en la atención de pacientes internos y se realizan bajo la supervisión directa de médicos, comprenden los servicios de personal médico y paramédico, laboratorios e instalaciones técnicas, incluso servicios de radiología y anestesiología y otras instalaciones y servicios hospitalarios, tales como comedores y salas de servicio de urgencia.
;;;Excluye: Las actividades veterinarias se incluyen en la clase 0430 (Servicios veterinarios).
;;;Las actividades de atención de la salud del personal militar en campaña incluyen en la clase 7522 (Actividades de defensa).
;;;Las actividades atención odontológica se incluye en la clase 9012 Servicios de atención primaria (médicos y odontólogos).
;;;Las actividades destinadas principalmente a pacientes externos se incluye en la clase 9019 (Otras actividades relacionadas con la salud), al igual que las actividades de los servicios de ambulancia.
;;9012;Servicios de atención primaria (médicos y odontólogos)
;;;Esta clase que abarca las actividades de consulta y tratamiento por médicos de medicina general y especializada, incluso los cirujanos y odontólogos, comprende las actividades de dichos profesionales en instituciones de atención de la salud y en consultorios privados.
;;;Se incluyen además las actividades realizadas en consultorios de empresas, escuelas, hogares  de ancianos, organizaciones sindicales y asociaciones profesionales, así como en el domicilio de los pacientes. Por lo general los pacientes son ambulatorios y pueden ser remitidos a un especialista por el médico de medicina general.
;;;Excluye: La atención de pacientes internos en hospitales se incluye en la clase 9011 (Actividades de hospitales).
;;;Las actividades paramédicos, como las enfermeras y fisioterapéutas, se incluyen en la clase 9019 (Otras actividades relacionadas con la salud).
;;9019;Otras actividades relacionadas con la salud
;;;Esta clase, que incluye todas las actividades  relacionadas con la salud humana que no se realizan en hospitales ni entrañan la participación  de médicos ni odontólogos, comprende las actividades llevadas a cabo o dirigidas por enfermeros, fisioterapéutas u otro personal paramédico especializado en optometría, hidroterapia, masaje, ergoterapia, logoterapia, posología, homeopatía, quiropráctica, acupuntura, etc.  Estas actividades pueden realizarse en clínicas de atención de la salud como las de empresas, escuelas, hogares de ancianos, organizaciones sindicales y asociaciones profesionales  en instituciones de atención de la salud con servicios de alojamiento distintas de los hospitales, y en consultorios particulares, hogares de los pacientes u otros lugares.
;;;Se incluyen las actividades realizadas por auxiliares, de odontología, tales como terapeutas dentales, enfermeros escolares con conocimientos de odontología, e higienistas dentales, que pueden atender pacientes sin la presencia del odontólogo pero son supervisados periódicamente por éste.  También se incluyen todos los tipos de actividades clínicas de patología morfológica o química  servicios bacteriológicos, virológicos, inmunológicos, etc. y diagnóstico realizados por laboratorios independientes, al igual que las actividades de bancos de sangre, servicios prestados en ambulancias, etc.
;;;Excluye: La fabricación de dientes y dentaduras artificiales y de prótesis por laboratorios dentales se incluye en la clase  3711 (Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos).
;;;Los ensayos bromatológicos se incluyen en la clase 7120 (Actividades de arquitectura, ingeniería y otras actividades técnicas).
;91;;ASISTENCIA SOCIAL
;;9131;Asistencia social con alojamiento
;;;Esta clase comprende las actividades destinadas a proporcionar asistencia social a niños, ancianos y categorías especiales de personas que tienen algún impedimento para valerse por si mismas.
;;;El tratamiento médico y la educación o capacitación no constituyen elementos importantes de estas actividades que pueden ser  realizadas por dependencias públicas y organizaciones no estatales.   Los servicios de que se trata son prestados durante las 24 horas e incluyen actividades tales como círculos infantiles con alojamiento, centros correccionales para jóvenes, asilos de ancianos, hogares para personas incapacitadas física o mentalmente, incluso los ciegos y sordomudos, y las de centro de rehabilitación (sin tratamiento médico) de personas adictas a estupefacientes o alcohol, etc.  Se incluyen las actividades de instituciones que atienden a las madres solteras y a sus hijos.
;;;Excluye: La financiación y administración de programas de seguridad social de afiliación obligatoria se incluyen en la clase 7530 (Actividades de seguridad social).
;;;Las actividades relacionadas con la adopción y albergue de víctimas de desastres se incluye en la clase 9132 (Asistencia social sin alojamiento).
;;9132;Asistencia social sin alojamiento 
;;;Esta clase abarca una amplia variedad de actividades sociales de asesoramiento, bienestar social, albergue, orientación y otras actividades similares por los cuales se prestan servicios a particulares y a familias en sus hogares o en otros lugares.
;;;Entre esas actividades, que pueden ser realizadas por dependencias públicas o por organizaciones privadas, como por organizaciones de bienestar social relacionadas con iglesias, organizaciones para socorro en casos de desastre y organizaciones nacionales o locales de autoayuda, así como por especialistas que prestan servicios de asesoramiento, se incluyen por ejemplo,  las actividades de atención diurna de personas incapacitadas, de bienestar social y otras personas  de determinación de las personas con derecho a recibir asistencia social, adopción, prevención de maltratos a los niños  de visitas a ancianos  asesoramiento sobre el presupuesto familiar y orientación acerca del matrimonio y la familia  de orientación de personas que se encuentran en libertad bajo palabra o en libertad condicional, de fomento de la comunidad y el vecindario, de socorro de víctimas de desastres, refugiados, inmigrantes, etc., incluso el suministro de albergue temporal y a largo plazo y asistencia para personas incapacitadas, siempre que el componente de educación sea limitado.
;;;Excluye: Las  actividades  que  suelen formar parte de la seguridad social se incluyen  en la clase 7530 (Actividades de seguridad social).
;;;Las actividades similares a las descritas en esta clase pero realizadas por unidades que proporcionan alojamiento se incluyen en la clase 9131 (Asistencia social con alojamiento).
Q;;;CULTURA   DEPORTE
;;;(División 94 - 95)
;94;;CULTURA
;;9411;Producción y distribución de filmes y vídeo cintas
;;;Esta clase, que abarca la producción de películas, sean o no de ficción, utilizando cintas cinematográficas y de vídeo, para su exhibición en cinematógrafos o su transmisión por televisión, suele incluir la producción de los estudios cinematográficos y de los estudios especiales para la creación de dibujos animados. Los productos pueden ser películas de ficción de largometraje, documentales, cortometrajes, etc., que se utilizan con fines de entretenimiento público, publicidad, educación, capacitación y divulgación de noticias, así como películas sobre religión, dibujos animados de todo tipo, etc.  Se incluyen así mismo las actividades auxiliares  realizadas a cambio de una retribución o por contrata, tales como el montaje y doblaje de películas, etc.
;;;También se incluye la distribución de filmes y vídeo cintas a otras industrias, pero no al público en general. Se trata de la venta y el alquiler de filmes o vídeo cintas a otras industrias, de las actividades vinculadas con la distribución de filmes y vídeo cintas, tales como las de obtención, entrega, archivo, etc.
;;;Excluye:   La duplicación de filmes y la reproducción de cintas magnetofónicas y de vídeo a partir de copias maestras se incluyen en la clase 2430 (Reproducción de grabaciones).
;;;El comercio al por menor de vídeo cintas se incluye en la clase 5335 (Venta minorista de otros productos n.c.p.)
;;;El alquiler de vídeo cintas al público en general y el alquiler de materiales de escenografía y vestuario se incluyen en la clase 7430 (Alquiler de efectos personales y enseres domésticos n.c.p.)
;;;El revelado de filmes, excepto el destinado a la industria cinematográfica, se incluye en la clase 7290 (Actividades  empresariales n.c.p.).
;;;Las actividades de agencias se incluyen en la clase 7290 (Actividades empresariales n.c.p.)
;;;La producción de filmes o vídeo cintas en estudios de televisión se incluye en la clase 9413 (Actividades de radio y televisión). Las actividades que realizan por cuenta propia actores, actrices, creadores de dibujos animados, directores, consultores y otros especialistas técnicos, etc., se incluyen en la clase 9439 (Otras actividades de recreación cultural)
;;9412;Exhibición de filmes y vídeo cintas
;;;Esta clase comprende la exhibición de filmes o vídeo cintas en cinematógrafos y al aire libre y en salas privadas y en otros locales de exhibición.
;;;Excluye:  El alquiler de salas cinematográficas, etc., se incluye en la clase 7310 (Actividades inmobiliarias realizadas con  bienes propios o arrendados) y la 7320 (Actividades inmobiliarias realizadas a cambio de una retribución o por contratas)
;;9413;Actividades de radio y televisión
;;;Esta clase incluye la producción, ya sea en vivo o en cinta u otro material de grabación, de programas de radio y televisión para su difusión simultánea o posterior.
;;;Los programas pueden ser para entretenimiento, promoción, educación, capacitación y difusión de noticias. Por lo general, el resultado de las actividades de producción es una cinta que puede venderse, alquilarse y archivarse para su oportuna transmisión o retransmisión. También se incluyen actividades de producción tales como la difusión de noticias deportivas, pronósticos del tiempo, entrevistas, etc.
;;;Excluye: La transmisión de televisión por cable y las transmisiones de radio y televisión por estaciones repetidoras y por satélites se incluyen también en la clase 6420 (Telecomunicaciones). 
;;;Las actividades de agencias se incluyen en la clase 7290 (Actividades empresariales n.c.p.)
;;;La  producción de filmes y vídeo cintas en estudios cinematográficos se incluye en la clase 9411 (Producción y distribución de filmes y vídeo cintas).
;;9414;Actividades  musicales
;;;En esta clase se incluye la producción para el público en general,  de  conciertos y operas,  sean para una o más funciones.  Las actividades pueden ser realizadas por grupos, compañías, orquestas y bandas profesionales o de aficionados, pero también pueden consistir en funciones de músicos, autores, concertistas, conferencistas,  etc.  Se incluyen actividades conexas tales como las de manejo de escenografía, los telones de fondo y el equipo de iluminación y de sonido, la venta de entradas de teatro, salas de concierto, así como  el diseño de la escenografía y el montaje de la iluminación.
;;;Excluye: El alquiler de salas de teatro, etc., se incluye en la clase pertinente de la división 73 (Actividades inmobiliarias).
;;;Las actividades de agencias y de contratación de artistas se incluyen en la clase 7290 (Actividades empresariales n.c.p.) y  9439 (Otras actividades de recreación cultural), respectivamente.
;;9415;Actividades  teatrales y artes escénicas
;;;En esta clase se incluye la producción para el público en general de obras de teatro,  espectáculos de danzas o del tipo de revistas, obras para teatro de verano, sean para una o más funciones. Las actividades pueden ser realizadas por grupos, compañías, pero también pueden consistir en funciones de artistas, actores y actrices,  autores, conferencistas,  disertantes. etc.  Se incluyen actividades conexas tales como las de manejo de escenografía, los telones de fondo y el equipo de iluminación y de sonido, la venta de entradas de teatro,  así como  el diseño de la escenografía y el montaje de la iluminación.
;;;Excluye:  El alquiler de salas de teatro, etc., se incluye en la clase pertinente de la división 73 (Actividades inmobiliarias)
;;;Las actividades de agencias y de contratación de artistas se incluyen en la clase 7290 (Actividades empresariales n.c.p.) y  9439 (Otras actividades de recreación cultural), respectivamente.
;;9416;Actividades de artes plásticas
;;;En esta clase se incluye la producción, para el público en general, de actividades de escultores, pintores, caricaturistas, grabadores, aguafuertistas, etc. 
;;;Se incluye otras actividades artísticas relacionadas con el diseño de sellos, sobres, postales y artículos análogos.
;;;Además se  realiza el montaje de exposiciones,  la iluminación,  ventas de entradas,  etc.
;;;Excluye: El alquiler de salas de exposición se incluye en la clase  pertinente de la división 73 (Actividades inmobiliarias).
;;9417;Actividades  de agencias de noticias
;;;Esta clase abarca las actividades de  obtención, investigación y suministro de noticias en forma de texto escrito y fotográfico a medios de información impresa como periódicos, revistas y libros  a emisoras de radio y estaciones de televisión.
;;;Incluye además las actividades de agencias de noticias que difunden fotos e imágenes desde el lugar de los acontecimientos a las estaciones de radio y televisión.
;;9431;Actividades de bibliotecas y archivos
;;;Esta clase abarca una amplia variedad de actividades de documentación e información realizadas por bibliotecas, centros especializados de información científico-técnica y archivos.   Por lo general, las actividades consisten en recuperar y conservar documentos, principalmente con fines históricos y científicos  preparar catálogos manuales o computarizados  prestar libros, revistas, filmes, cintas grabadas, etc.  atender solicitudes de información, etc. .  Los servicios pueden ser prestados al público en general o a una clientela especializada, como estudiantes, científicos, empleados de la organización a que pertenezca la biblioteca, miembros de otras organizaciones, etc.
;;;Excluye:   Las actividades relativas a bases de datos se incluyen en la clase 7030 (Procesamiento de datos y de bases de datos).
;;9432;Actividades  de   museos  y    preservación  de  lugares  y  edificios históricos
;;;En esta clase se incluyen las actividades de museos de todos los tipos,  como los  de arte, orfebrería, muebles, trajes, cerámica, platería, etc., museos de historia natural y de ciencias, museos tecnológicos, museos históricos, incluso los museos militares y las casas históricas, así como otros tipos de museos especializados. Se incluye además la preservación de lugares y edificios históricos.
;;9433;Actividades de jardines botánicos, zoológicos y parques nacionales
;;;Esta clase comprende las actividades de jardines botánicos  zoológicos, acuarios  y parques nacionales. Su función es de exhibición y de investigación.
;;;Además se ocupa de la reserva natural,  incluida la preservación de la flora y la fauna silvestre.
;;9439;Otras actividades de recreación cultural 
